Transaction Type,Date,Amount Debited,Debit Currency,Amount Credited,Credit Currency,Buy / Sell Rate,Direction,Spot Rate,Source / Destination,Blockchain Transaction ID
shakingsats,2021-01-01T20:41:02+00,,,0.00000625,BTC,,credit,37248.6872,,
shakingsats,2021-01-02T05:14:04+00,,,0.0000076,BTC,,credit,37586.659,,
shakingsats,2021-01-03T06:08:09+00,,,0.0000058,BTC,,credit,43414.6299,,
shakingsats,2021-01-04T09:15:17+00,,,0.0000062,BTC,,credit,40203.9498,,
shakingsats,2021-01-05T07:05:56+00,,,0.0000066,BTC,,credit,39616.7103,,
shakingsats,2021-01-06T05:36:55+00,,,0.000007,BTC,,credit,44590.2288,,
shakingsats,2021-01-07T12:08:43+00,,,0.0000074,BTC,,credit,48351.9596,,
shakingsats,2021-01-08T09:49:26+00,,,0.0000077,BTC,,credit,49368.5666,,
shakingsats,2021-01-09T06:42:41+00,,,0.0000081,BTC,,credit,49749.9176,,
shakingsats,2021-01-10T06:45:39+00,,,0.0000085,BTC,,credit,52255.3321,,
shakingsats,2021-01-11T20:23:53+00,,,0.0000088,BTC,,credit,40755.435,,